Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto. Detecting largest batch size
Determined Largest batch size: 64
hf (pretrained=/home/zhuxuekai/scratch2_nlp/scaling_law4AI_data/pre_training_results/GPT-2/mixdata/0.75/epoch_4_steps_160280,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto:4 (64,64,64,64)
|                 Tasks                 |Version|Filter|n-shot|  Metric   |   | Value |   |Stderr|
|---------------------------------------|------:|------|-----:|-----------|---|------:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc        |↑  | 0.2193|±  |0.0121|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2594|±  |0.0128|
|arc_easy                               |      1|none  |     0|acc        |↑  | 0.4453|±  |0.0102|
|                                       |       |none  |     0|acc_norm   |↑  | 0.4091|±  |0.0101|
|boolq                                  |      2|none  |     0|acc        |↑  | 0.6156|±  |0.0085|
|hellaswag                              |      1|none  |     0|acc        |↑  | 0.2944|±  |0.0045|
|                                       |       |none  |     0|acc_norm   |↑  | 0.3183|±  |0.0046|
|logiqa2                                |      0|none  |     0|acc        |↑  | 0.2265|±  |0.0106|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2513|±  |0.0109|
|mathqa                                 |      1|none  |     0|acc        |↑  | 0.2191|±  |0.0076|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2161|±  |0.0075|
|mmlu                                   |      2|none  |      |acc        |↑  | 0.2295|±  |0.0035|
| - humanities                          |      2|none  |      |acc        |↑  | 0.2421|±  |0.0062|
|  - formal_logic                       |      1|none  |     0|acc        |↑  | 0.2778|±  |0.0401|
|  - high_school_european_history       |      1|none  |     0|acc        |↑  | 0.2182|±  |0.0323|
|  - high_school_us_history             |      1|none  |     0|acc        |↑  | 0.2549|±  |0.0306|
|  - high_school_world_history          |      1|none  |     0|acc        |↑  | 0.2700|±  |0.0289|
|  - international_law                  |      1|none  |     0|acc        |↑  | 0.2397|±  |0.0390|
|  - jurisprudence                      |      1|none  |     0|acc        |↑  | 0.2593|±  |0.0424|
|  - logical_fallacies                  |      1|none  |     0|acc        |↑  | 0.2331|±  |0.0332|
|  - moral_disputes                     |      1|none  |     0|acc        |↑  | 0.2457|±  |0.0232|
|  - moral_scenarios                    |      1|none  |     0|acc        |↑  | 0.2380|±  |0.0142|
|  - philosophy                         |      1|none  |     0|acc        |↑  | 0.1865|±  |0.0221|
|  - prehistory                         |      1|none  |     0|acc        |↑  | 0.2130|±  |0.0228|
|  - professional_law                   |      1|none  |     0|acc        |↑  | 0.2464|±  |0.0110|
|  - world_religions                    |      1|none  |     0|acc        |↑  | 0.3158|±  |0.0357|
| - other                               |      2|none  |      |acc        |↑  | 0.2391|±  |0.0076|
|  - business_ethics                    |      1|none  |     0|acc        |↑  | 0.3000|±  |0.0461|
|  - clinical_knowledge                 |      1|none  |     0|acc        |↑  | 0.2151|±  |0.0253|
|  - college_medicine                   |      1|none  |     0|acc        |↑  | 0.2139|±  |0.0313|
|  - global_facts                       |      1|none  |     0|acc        |↑  | 0.1800|±  |0.0386|
|  - human_aging                        |      1|none  |     0|acc        |↑  | 0.3094|±  |0.0310|
|  - management                         |      1|none  |     0|acc        |↑  | 0.1748|±  |0.0376|
|  - marketing                          |      1|none  |     0|acc        |↑  | 0.2906|±  |0.0297|
|  - medical_genetics                   |      1|none  |     0|acc        |↑  | 0.3100|±  |0.0465|
|  - miscellaneous                      |      1|none  |     0|acc        |↑  | 0.2350|±  |0.0152|
